"INDEKS","SMER","DUZINA_STUDIRANJA","POLOZENO_ISPITA","PROSEK"
"20060227","Statistika, aktuarska i finansijska matematika","5","41","7.00"
"20060229","Statistika, aktuarska i finansijska matematika","5","40","9.42"
"20060240","Informatika","7","29","6.55"
"20060246","Informatika","5","30","6.66"
"20060248","Informatika","3","30","7.93"
"20060249","Profesor matematike i racunarstva","4","38","7.89"
"20060252","Informatika","3","30","8.46"
"20060256","Informatika","3","30","9.63"
"20060257","Statistika, aktuarska i finansijska matematika","6","43","7.37"
"20060262","Informatika","3","30","7.60"
"20060266","Profesor matematike i racunarstva","6","40","7.37"
"20060274","Informatika","3","30","6.93"
"20060279","Informatika","4","30","7.00"
"20060280","Informatika","3","30","6.93"
"20060281","Informatika","5","30","6.80"
"20060284","Informatika","2","30","6.96"
"20060285","Informatika","5","28","7.28"
"20060286","Informatika","3","30","8.36"
"20060287","Informatika","5","29","6.65"
"20060288","Informatika","3","30","8.30"
"20060290","Informatika","3","30","7.10"
"20060292","Informatika","5","36","7.44"
"20060293","Informatika","4","35","7.11"
"20060298","Informatika","3","30","7.56"
"20060312","Profesor matematike i racunarstva","5","41","7.14"
"20060314","Profesor matematike i racunarstva","5","38","6.68"
"20060318","Profesor matematike i racunarstva","6","41","7.65"
"20060320","Profesor matematike i racunarstva","6","38","6.97"
"20060322","Profesor matematike i racunarstva","4","38","7.00"
"20060323","Informatika","3","30","9.00"
"20060325","Informatika","6","36","7.22"
"20060326","Informatika","4","31","7.03"
"20060327","Informatika","4","30","7.26"
"20060328","Informatika","4","30","6.70"
"20060329","Informatika","5","30","6.53"
"20060331","Informatika","3","30","7.56"
"20060332","Informatika","3","30","7.56"
"20060334","Informatika","3","30","8.60"
"20060336","Informatika","5","30","6.86"
"20060339","Informatika","3","31","9.93"
"20060340","Informatika","4","30","6.93"
"20060342","Informatika","4","30","7.16"
"20060343","Informatika","4","30","6.53"
"20060344","Informatika","7","30","6.73"
"20060345","Informatika","6","30","6.93"
"20060348","Informatika","4","31","7.67"
"20060349","Informatika","3","30","8.03"
"20060350","Informatika","4","30","6.90"
"20060351","Informatika","4","31","7.12"
"20060353","Informatika","3","30","7.60"
"20060354","Informatika","4","37","6.86"
"20060356","Informatika","5","30","6.56"
"20060357","Informatika","3","30","8.60"
"20060358","Informatika","6","35","8.05"
"20060359","Informatika","4","34","8.00"
"20060366","Profesor matematike i racunarstva","3","38","7.94"
"20060367","Profesor matematike i racunarstva","6","37","6.89"
